member,kind,storey,bay,case,true_alpha,flat_alpha_mean,flat_alpha_sd,flat_max_abs_correlation,flat_identifiability,sparse_alpha_mean,sparse_alpha_sd,sparse_max_abs_correlation,sparse_identifiability,sparse_minus_flat_abs_error,source
M17,beam,2,2,clustered_main_case,0.7342641450839525,0.8576792708906447,0.1748480170680874,0.10684392192164885,trades_off,0.9880636725405055,0.05197496785334707,0.021413443827355404,separable,0.13038440164986087,illustrative
M18,beam,3,0,clustered_main_case,0.9339306313834392,0.8722814288673859,0.17750402510065,0.09257722900775398,trades_off,0.9947546785519006,0.047511861682405315,0.03352649041151631,separable,-0.0008251553475919771,illustrative
M19,beam,3,1,clustered_main_case,0.5270347000175947,0.8864243216454932,0.17942040375689272,0.043195859830224226,trades_off,0.9981799803461546,0.04638009597759154,0.010279084899291767,separable,0.1117556587006614,illustrative
M20,beam,3,2,clustered_main_case,0.7814454696260098,0.8725537075118229,0.17759203284787362,0.09089123354462464,trades_off,0.9947577607999376,0.047510365072051135,0.03351955808229356,separable,0.12220405328811468,illustrative
M00,column,1,0,dense_damage_sparsity_false,0.6688453282023823,0.6736646548032585,0.17192739627612608,0.12980192040441035,trades_off,0.6780939907322526,0.2577315584548261,0.24364130696431255,trades_off,0.004429335928994083,illustrative
M01,column,1,1,dense_damage_sparsity_false,0.7895134485506602,0.6970810721783367,0.1434032374169607,0.5894231799947904,separable,0.9679841476652502,0.08933111984615033,0.11887460991636037,separable,0.08603832274226653,illustrative
M02,column,1,2,dense_damage_sparsity_false,0.727582177630133,0.6971458706164937,0.14213195940880727,0.5894231799947904,separable,0.9801381105923314,0.07517891509657192,0.07530252839346592,separable,0.22211962594855905,illustrative
M03,column,1,3,dense_damage_sparsity_false,0.7226089773718308,0.673255744838616,0.17200430336043018,0.14174870178716542,trades_off,0.5786917735780324,0.2650665234179817,0.5133085227861857,trades_off,0.09456397126058369,illustrative
M04,column,2,0,dense_damage_sparsity_false,0.7202935923714167,0.7265750609106841,0.1633201861399118,0.22379261736099584,separable,0.7023807943501842,0.1963389354113294,0.5133085227861857,trades_off,0.011631329481964992,illustrative
M05,column,2,1,dense_damage_sparsity_false,0.667567480904147,0.6723266346113927,0.15190116247545435,0.4063865105242415,separable,0.5683463094593938,0.2064427335069756,0.8850137933735652,trades_off,0.0944620177375074,illustrative
M06,column,2,2,dense_damage_sparsity_false,0.6739621687996727,0.6720973186410034,0.1516546296309656,0.4063865105242415,separable,0.5885301360626338,0.23994413977077475,0.8850137933735652,trades_off,0.08356718257836959,illustrative
M07,column,2,3,dense_damage_sparsity_false,0.6953198461807524,0.7258873033791923,0.16353325196249305,0.22523780700735896,separable,0.987406191155255,0.06640623430899933,0.10135232701494257,separable,0.2615188877760627,illustrative
M08,column,3,0,dense_damage_sparsity_false,0.6644904484427716,0.7703286299443509,0.17324910486601683,0.148994996183362,trades_off,0.9916442821927756,0.06242881876399127,0.053539289130207446,separable,0.22131565224842464,illustrative
M09,column,3,1,dense_damage_sparsity_false,0.6511304194058892,0.643154554734644,0.15450442227847014,0.356601278031393,separable,0.39210870194220987,0.27558952801164366,0.9188095165463218,trades_off,0.25104585279243413,illustrative
M10,column,3,2,dense_damage_sparsity_false,0.6799027037669315,0.6431757181810962,0.15457852386515347,0.356601278031393,separable,0.36743994885326015,0.2666209470840199,0.9188095165463218,trades_off,0.27573576932783606,illustrative
M11,column,3,3,dense_damage_sparsity_false,0.7459757320620921,0.7702525880669057,0.1733125854368539,0.14852333612094815,trades_off,0.9907546612763015,0.0631869108369689,0.06370016511699278,separable,0.22050207320939585,illustrative
M12,beam,1,0,dense_damage_sparsity_false,0.6479229624305878,0.752377754646619,0.1587144979067741,0.28600325515104613,separable,0.7192068619680327,0.23871864014451694,0.693730637942249,trades_off,-0.033170892678586306,illustrative
M13,beam,1,1,dense_damage_sparsity_false,0.8039394280507133,0.8162226272408271,0.17277755385350999,0.1562191093587935,trades_off,0.9843969833921585,0.07010943286082905,0.13481505193842894,separable,0.16817435615133147,illustrative
M14,beam,1,2,dense_damage_sparsity_false,0.7842319402447212,0.7523427451355791,0.15873997730243825,0.28600325515104613,separable,0.3500000000000176,0.18149385807664103,0.693730637942249,trades_off,0.4023427451355615,illustrative
M15,beam,2,0,dense_damage_sparsity_false,0.6672367572213743,0.780089235501057,0.17244921587214904,0.1352839943160288,trades_off,0.9901319792663651,0.06394738197807724,0.08008035676307351,separable,0.21004274376530807,illustrative
M16,beam,2,1,dense_damage_sparsity_false,0.6900302706097016,0.8273410843769771,0.1770581042798335,0.08688216619434992,trades_off,0.9968361916011141,0.0591400442661127,0.027298843266016656,separable,0.16949510722413708,illustrative
M17,beam,2,2,dense_damage_sparsity_false,0.6815032966664305,0.7800566783680116,0.17244930533472203,0.13527368115473395,trades_off,0.9895479708570731,0.0645251746820112,0.08266606477638376,separable,0.2094912924890615,illustrative
M18,beam,3,0,dense_damage_sparsity_false,0.7886645181130042,0.8219326280341727,0.17756625883468755,0.0928685131277338,trades_off,0.9949947932043057,0.06002629826886703,0.02405278305690529,separable,0.17306216517013306,illustrative
M19,beam,3,1,dense_damage_sparsity_false,0.6850547652754193,0.8702325797432467,0.17965202638204888,0.03398364704427951,trades_off,0.9996077113441905,0.05851588464656426,0.0019079529288196693,separable,0.12937513160094372,illustrative
M20,beam,3,2,dense_damage_sparsity_false,0.7560578310942734,0.8218972226501412,0.17756649036996308,0.09287133163922977,trades_off,0.9949691099850805,0.060039654569758655,0.024965269243721236,separable,0.17307188733493928,illustrative
