configuration,seed,energy,feasible,interventions,geometry_acquisitions,source,jaccard_vs_milp_oracle
sparse_prior,32019,74.2204427223187,True,12,1,illustrative,0.2222222222222222
sparse_prior,32020,111.13745862047654,True,11,0,illustrative,0.05
sparse_prior,32021,68.21933138172608,True,11,1,illustrative,0.3125
sparse_prior,32022,82.36160111287609,True,11,1,illustrative,0.16666666666666666
sparse_prior,32023,51.92745812202338,True,10,1,illustrative,0.05263157894736842
sparse_prior,32024,53.27829054463655,True,11,2,illustrative,0.4
sparse_prior,32025,77.1663893153891,True,11,1,illustrative,0.23529411764705882
sparse_prior,32026,112.69479168846738,True,11,0,illustrative,0.23529411764705882
sparse_prior,32027,110.79778378386982,True,11,0,illustrative,0.16666666666666666
sparse_prior,32028,55.15779773762915,True,10,1,illustrative,0.3333333333333333
sparse_prior,32029,67.99439770146273,True,10,2,illustrative,0.25
sparse_prior,32030,98.72880078025628,True,12,0,illustrative,0.2222222222222222
sparse_prior,32031,87.13716348109301,True,11,0,illustrative,0.10526315789473684
sparse_prior,32032,122.70297247706912,True,12,0,illustrative,0.15789473684210525
sparse_prior,32033,98.83486236666795,True,11,2,illustrative,0.16666666666666666
sparse_prior,32034,106.57739974593278,True,11,1,illustrative,0.10526315789473684
sparse_prior,32035,102.20721663255244,True,12,1,illustrative,0.15789473684210525
sparse_prior,32036,112.52150221524062,True,11,0,illustrative,0.10526315789473684
sparse_prior,32037,59.07768951822072,True,10,0,illustrative,0.17647058823529413
sparse_prior,32038,75.5475572500145,True,11,2,illustrative,0.23529411764705882
sparse_prior,32039,84.18706442404073,True,11,1,illustrative,0.4
sparse_prior,32040,115.6989780823933,True,11,0,illustrative,0.23529411764705882
sparse_prior,32041,123.49330118531361,True,11,0,illustrative,0.3125
sparse_prior,32042,123.8653697577538,True,11,0,illustrative,0.23529411764705882
sparse_prior,32043,69.12922068045009,True,11,0,illustrative,0.16666666666666666
sparse_prior,32044,116.67938078992302,True,11,0,illustrative,0.05
sparse_prior,32045,91.3873953516595,True,11,1,illustrative,0.10526315789473684
sparse_prior,32046,115.75921349809505,True,12,0,illustrative,0.15789473684210525
sparse_prior,32047,61.83033852127846,True,11,0,illustrative,0.10526315789473684
sparse_prior,32048,80.1842743611196,True,12,0,illustrative,0.4666666666666667
sparse_prior,32049,108.29834325099364,True,12,1,illustrative,0.29411764705882354
ground_truth_oracle,33000,35.64788403874263,True,12,0,illustrative,0.29411764705882354
ground_truth_oracle,33001,11.798837154638022,True,12,0,illustrative,0.15789473684210525
ground_truth_oracle,33002,23.389435209566727,True,12,0,illustrative,0.375
ground_truth_oracle,33003,18.67214513604995,True,11,0,illustrative,0.3125
ground_truth_oracle,33004,-1.2716020240914077,True,11,0,illustrative,0.6153846153846154
ground_truth_oracle,33005,21.982481309678406,True,11,0,illustrative,0.16666666666666666
ground_truth_oracle,33006,43.44126048439648,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33007,19.771386542823166,True,11,0,illustrative,0.3125
ground_truth_oracle,33008,53.9663796935929,True,12,0,illustrative,0.15789473684210525
ground_truth_oracle,33009,64.40335920429789,True,12,0,illustrative,0.1
ground_truth_oracle,33010,28.30094261118211,True,11,0,illustrative,0.3125
ground_truth_oracle,33011,-36.50189383071847,True,11,0,illustrative,0.4
ground_truth_oracle,33012,62.17202461883426,True,12,0,illustrative,0.15789473684210525
ground_truth_oracle,33013,39.54837327694986,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33014,102.15627461101394,True,12,0,illustrative,0.1
ground_truth_oracle,33015,35.638949701562524,True,12,0,illustrative,0.29411764705882354
ground_truth_oracle,33016,25.235901911510155,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33017,0.019021188840270042,True,11,0,illustrative,0.4
ground_truth_oracle,33018,69.3353360670153,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33019,84.45554053131491,True,12,0,illustrative,0.047619047619047616
