,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
M10,-0.00789281043115541,-8.431269115606186e-06,-1.568710683123758e-05,-0.0008072114690650718,-6.053683095830866e-06,0.0014042623298653643,-8.5846254165093e-06,-5.582022912927088e-06,-1.310093172411798e-05,-1.980131872615307e-05,0.007740937036417672,-1.0523833185132806e-05,-1.33673559116567e-06,-5.754379682954161e-07,-8.906386354808965e-07,-6.277894990673399e-06,-2.9119559671564286e-06,-4.695197679111703e-06,-9.487458125867355e-06,-2.229909015630974e-06,-6.628790294617803e-06
M11,4.1066987018494456e-06,5.438105603672156e-09,1.2792746756050122e-09,-1.8231825828848524e-06,-3.7744922950263e-09,-2.01220353076993e-06,-4.199697160861255e-09,-5.780935903737414e-09,-2.64838044135616e-09,-3.1848685564099095e-10,-1.0523833185132806e-05,4.400103341974525e-05,2.2278137799695435e-09,1.9646520378072127e-09,2.4139224430466514e-09,2.0228551153936685e-09,8.587751363157035e-10,1.4727990583986347e-09,-8.442074985257242e-10,3.236467929698894e-11,-7.100773747130101e-10
M12,-3.7459784617607676e-06,-2.604886510540923e-08,-2.4846633216125793e-08,4.5408218436577684e-08,-1.564378927906629e-09,-7.134394205508597e-07,-2.1279241562752758e-08,-1.0972371152557852e-09,1.820871716529314e-09,-5.174235640639927e-09,-1.33673559116567e-06,2.2278137799695435e-09,4.4307835170128355e-05,-1.8012700655173927e-08,-2.830327334291762e-08,-1.5593132608259563e-08,-8.28298199347734e-09,-1.6526598901695574e-08,-1.979106752537894e-09,-1.1375124903475766e-09,-1.0240892743494478e-09
M13,-3.4860003393093303e-06,-2.009394684140934e-08,-1.8595376332410797e-08,-2.4791766876858433e-08,-5.23413871093696e-10,6.136295091474382e-08,-1.4933300423789207e-08,9.033556992299446e-11,1.6672158149656207e-09,-3.938253771880659e-09,-5.754379682954161e-07,1.9646520378072127e-09,-1.8012700655173927e-08,4.4162618345675215e-05,-2.116516668995603e-08,-1.1845371071353607e-08,-6.248921383360367e-09,-1.2415859482972454e-08,-1.4017553953666914e-09,-8.626647944371701e-10,-6.958955035321359e-10
M14,-3.716765297926017e-06,-3.006360482180668e-08,-2.916311712076902e-08,-7.29954232550301e-08,-2.4493696821124274e-09,-1.6152642182060088e-06,-2.6009066779277898e-08,-2.1900143728215778e-09,1.957524057504345e-09,-5.860530570613709e-09,-8.906386354808965e-07,2.4139224430466514e-09,-2.830327334291762e-08,-2.116516668995603e-08,4.441179229661488e-05,-1.815051363509966e-08,-9.688881658355405e-09,-1.939390786233616e-08,-2.326376228162208e-09,-1.309660147443559e-09,-1.2178141282871533e-09
M15,-5.140760498269087e-06,-1.932709680294485e-08,-1.6768801475345856e-08,4.3077595829612314e-07,1.2531334595280646e-09,3.0378794993663473e-06,-1.0246325842260786e-08,2.642793257697873e-09,1.6307991363819607e-09,-4.6622567013671755e-09,-6.277894990673399e-06,2.0228551153936685e-09,-1.5593132608259563e-08,-1.1845371071353607e-08,-1.815051363509966e-08,4.418230182578192e-05,-5.673181454864009e-09,-1.1056323743388778e-08,-1.5017989961340788e-09,-8.996642950119296e-10,-7.599452887968438e-10
M16,-2.1112090983917286e-06,-9.710207931191463e-09,-8.84426863553195e-09,2.0490139145391882e-07,5.426138352358223e-11,7.358469782196976e-07,-6.384488249800104e-09,5.404474144100184e-10,6.592931747119022e-10,-2.2892415290244863e-09,-2.9119559671564286e-06,8.587751363157035e-10,-8.28298199347734e-09,-6.248921383360367e-09,-9.688881658355405e-09,-5.673181454864009e-09,4.403671794807227e-05,-5.8156989610714185e-09,-8.100481314308172e-10,-4.528391780745534e-10,-4.2649336322355383e-10
M17,-3.271488537966242e-06,-1.857991080933198e-08,-1.7501874452120736e-08,1.558370075205194e-07,-5.942672513140494e-10,7.947109160345193e-07,-1.387435826533593e-08,-1.8374744146254944e-11,1.1192290893093782e-09,-4.243219569583133e-09,-4.695197679111703e-06,1.4727990583986347e-09,-1.6526598901695574e-08,-1.2415859482972454e-08,-1.939390786233616e-08,-1.1056323743388778e-08,-5.8156989610714185e-09,4.4187196086491644e-05,-1.595127034409464e-09,-8.635645842675677e-10,-8.541633879008072e-10
M18,2.9093146743424685e-07,-1.8036525109835873e-09,-3.0079912526878536e-09,8.476199432939772e-07,-1.1317114712584016e-09,7.521509316072009e-07,-3.286443660426986e-09,-1.2882515398522608e-09,-1.0845995195584356e-09,-1.7120868507400932e-09,-9.487458125867355e-06,-8.442074985257242e-10,-1.979106752537894e-09,-1.4017553953666914e-09,-2.326376228162208e-09,-1.5017989961340788e-09,-8.100481314308172e-10,-1.595127034409464e-09,4.4014674053166096e-05,-2.365862855672783e-10,-6.299863051873053e-10
M19,-4.845715035332326e-07,-1.5302395020026979e-09,-1.412235393615456e-09,1.7099658310755548e-07,8.725558650509764e-11,5.132950396427341e-07,-7.426881503059872e-10,2.3401378143292217e-10,-3.619594813944785e-11,-6.196279648447527e-10,-2.229909015630974e-06,3.236467929698894e-11,-1.1375124903475766e-09,-8.626647944371701e-10,-1.309660147443559e-09,-8.996642950119296e-10,-4.528391780745534e-10,-8.635645842675677e-10,-2.365862855672783e-10,4.3979534276072426e-05,-1.428438353761642e-10
