,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
M10,-0.004649796699835963,0.0005448835849230907,0.0005167060739918366,-0.004873909380368299,-0.00027987783236856697,0.0008059169405666194,0.0007798783881535833,-0.0002836243823999172,-0.00040958488330205644,-0.013054889963217981,0.024866260146990556,-0.00041028877011068385,0.00015557021829647996,5.5633400620160216e-05,0.0001533596386577693,-0.00017091690863784895,-7.17688637711891e-05,-0.00017084332212783138,-0.0002511859697477347,-7.517809776517428e-05,-0.00025112612094745784
M11,-5.5156679743962735e-05,0.00014621430520284589,0.0001449628204096856,-6.568449998410443e-05,-1.9304357506956487e-05,-0.00013441226959883044,-0.0001358620761525279,-1.9485762561972478e-05,-1.6694889343583687e-05,-0.00040973903550603865,-0.00041028877011068385,0.0024042178618981025,6.449506047840642e-06,2.7384383386420703e-06,6.361257529560646e-06,-2.177411594404046e-06,-7.463162903221e-07,-2.175410792528178e-06,-8.668377676533601e-06,-2.2313663595636733e-06,-8.666265770835591e-06
M12,-8.50640445174763e-05,-0.0002298827284304572,-0.0002390631730957244,-0.00016166556239936527,-8.325261113170823e-06,-5.5074221517473786e-05,-6.550913562913925e-05,-9.398458919961413e-06,6.773131814256716e-06,0.0001578688612365545,0.00015557021829647996,6.449506047840642e-06,0.004643530416887992,-7.38312970315635e-05,-0.0002525580684211682,-7.588394731054268e-05,-3.483473957402008e-05,-7.584114747816383e-05,-6.2732099558003844e-06,-4.439703829156003e-06,-6.273737938640835e-06
M13,-3.0885709013173476e-05,-8.267862872526422e-05,-8.524096636799058e-05,-5.221901153570174e-05,-6.146387442425789e-07,9.391268457076863e-06,6.510882855091769e-06,-9.109894321663539e-07,2.829137136016307e-06,5.6270948816386545e-05,5.5633400620160216e-05,2.7384383386420703e-06,-7.38312970315635e-05,0.0024249570443159165,-7.285756025521417e-05,-2.2111004813652195e-05,-1.0161781203456817e-05,-2.209872482220373e-05,-1.4912837225001472e-06,-1.234155006032371e-06,-1.4914895358642185e-06
M14,-8.398639225583927e-05,-0.00022685173913526067,-0.00023590796078610133,-0.00015955165072206967,-8.21354019471897e-06,-5.417388701749959e-05,-6.446723311241089e-05,-9.27231764408004e-06,6.680513259084619e-06,0.00015562751211149856,0.0001533596386577693,6.361257529560646e-06,-0.0002525580684211682,-7.285756025521417e-05,0.004586474257394128,-7.488758332769422e-05,-3.437733367594105e-05,-7.484534927218014e-05,-6.193554766916355e-06,-4.382288297614977e-06,-6.194076977570288e-06
M15,-0.00012280398063504246,-0.0001156647611671422,-0.00011881934514624913,-0.0001487461771459438,1.336644832275454e-06,0.00017068651205244528,0.00016746024487626252,9.758979888287336e-07,-2.070976626666587e-06,-0.00016997183145023656,-0.00017091690863784895,-2.177411594404046e-06,-7.588394731054268e-05,-2.2111004813652195e-05,-7.488758332769422e-05,0.0027017745543095758,-1.2956863559265796e-05,-2.839343743820375e-05,-5.7419867907149585e-06,-2.7689709465631273e-06,-5.7411327673120875e-06
M16,-5.531399965769176e-05,-5.503746525338862e-05,-5.646279648925961e-05,-6.703115674572284e-05,8.726216344409669e-07,7.929760737865414e-05,7.78408842066987e-05,7.101756570894894e-07,-6.98089653701916e-07,-7.134472376619147e-05,-7.17688637711891e-05,-7.463162903221e-07,-3.483473957402008e-05,-1.0161781203456817e-05,-3.437733367594105e-05,-1.2956863559265796e-05,0.002262545795467622,-1.2950155721664441e-05,-2.4931765972783298e-06,-1.231387672078051e-06,-2.4928209989353474e-06
M17,-0.00012279043981065145,-0.00011566035981560582,-0.00011881374205320312,-0.00014872014241922984,1.3391407934464834e-06,0.0001706318645266912,0.00016740676464375108,9.785736839088013e-07,-2.0690349869401287e-06,-0.0001698985996706059,-0.00017084332212783138,-2.175410792528178e-06,-7.584114747816383e-05,-2.209872482220373e-05,-7.484534927218014e-05,-2.839343743820375e-05,-1.2950155721664441e-05,0.0027013972833564615,-5.7387948185714165e-06,-2.7675527283043762e-06,-5.737940766974848e-06
M18,-4.9505923265657504e-05,5.0621385873088137e-05,4.954447751321308e-05,-5.843390309516637e-05,-7.494923232406345e-06,1.3585863772188842e-05,1.2493612214456916e-05,-7.633674058260288e-06,-8.637092119271692e-06,-0.0002507575166864704,-0.0002511859697477347,-8.668377676533601e-06,-6.2732099558003844e-06,-1.4912837225001472e-06,-6.193554766916355e-06,-5.7419867907149585e-06,-2.4931765972783298e-06,-5.7387948185714165e-06,0.0022573770005280143,-1.6651433237614543e-06,-5.466557622632298e-06
M19,-2.1968463924425128e-05,3.2704397530231928e-06,2.880396598100992e-06,-2.516771250224083e-05,-1.3434677371661134e-06,2.137077749829242e-05,2.0992696156053412e-05,-1.3909852294610205e-06,-2.2195690781883434e-06,-7.502982157937315e-05,-7.517809776517428e-05,-2.2313663595636733e-06,-4.439703829156003e-06,-1.234155006032371e-06,-4.382288297614977e-06,-2.7689709465631273e-06,-1.231387672078051e-06,-2.7675527283043762e-06,-1.6651433237614543e-06,0.002151113302890603,-1.6647617870046118e-06
