,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
M10,-0.1473376295086995,0.023642690341844966,0.022392590465483826,-0.154006300193355,-0.03373382268145174,0.03210562031322421,0.031056080279058713,-0.03416593801097998,-0.05296913609463742,-0.5248572214665941,1.0,-0.05306369451297557,0.014477616799888302,0.0071643755952977995,0.014360394145737948,-0.020852361204782278,-0.009568241868941025,-0.020844838854766227,-0.03352649041151631,-0.010279084899291767,-0.03351955808229356
M11,-0.005620774410483909,0.020403344436933975,0.02020392405929432,-0.006674861556602791,-0.0074829136684416205,-0.017220589791609033,-0.017399482393165955,-0.007548932088539433,-0.0069435384025492266,-0.05297776456125452,-0.05306369451297557,0.9999999999999998,0.0019302581610417078,0.0011341331159140861,0.0019156518709468006,-0.0008543367098656603,-0.00031999067495925996,-0.0008536112688070223,-0.003720907445206018,-0.0009811882270064618,-0.0037201180908229083
M12,-0.006237446456879571,-0.02308238080793134,-0.02397477495923898,-0.01182114770696435,-0.0023220737488249977,-0.005077152831310339,-0.006036743365037406,-0.0026199169338937357,0.0020269805758444974,0.014687420427980886,0.014477616799888302,0.0019302581610417078,1.0,-0.02200210969827984,-0.05472649318453026,-0.021424032224987677,-0.010747061435964433,-0.021413443827355404,-0.0019375977779135438,-0.001404747309959287,-0.001937821896098974
M13,-0.0031339387209700156,-0.011487873534986624,-0.011829389906110915,-0.0052837577230337345,-0.00023723032315641767,0.00119803152812693,0.0008302575780670032,-0.0003514117962482026,0.0011716183933824147,0.007244449860413862,0.0071643755952977995,0.0011341331159140861,-0.02200210969827984,1.0,-0.021846562876293715,-0.008638371963849326,-0.004338295452446542,-0.008634177243576955,-0.0006373914075706188,-0.0005403635437791558,-0.0006374994555679012
M14,-0.006196613311561796,-0.02291928361869539,-0.023805051394988987,-0.011738918717546409,-0.0023051181972566846,-0.005025121125577218,-0.0059775682376719454,-0.002600781352461603,0.0020116598904598745,0.014568676254004395,0.014360394145737948,0.0019156518709468006,-0.05472649318453026,-0.021846562876293715,1.0,-0.021273834785169733,-0.01067171012994512,-0.02126332170221066,-0.0019248569263089308,-0.0013951786505741345,-0.001925079860434657
M15,-0.011805186179508724,-0.015225617591558497,-0.015621711318614092,-0.014258949577276176,0.0004887578690311556,0.020628643338060377,0.02023075823209666,0.00035664397468863256,-0.0008125214792485318,-0.020731255221083735,-0.020852361204782278,-0.0008543367098656603,-0.021424032224987677,-0.008638371963849326,-0.021273834785169733,1.0,-0.005240547270693191,-0.010509914679923687,-0.0023250676176932825,-0.0011485825194227923,-0.0023247950336096443
M16,-0.005810604595971343,-0.007916954355078557,-0.00811203287352779,-0.007021732793079745,0.0003486820409187795,0.010472669820428764,0.010276235845367005,0.0002836103751873362,-0.0002992931098576984,-0.009509033325246557,-0.009568241868941025,-0.00031999067495925996,-0.010747061435964433,-0.004338295452446542,-0.01067171012994512,-0.005240547270693191,1.0,-0.005238199950518556,-0.001103195050005702,-0.0005581674018326285,-0.0011030724492893259
M17,-0.011804708718653361,-0.015226101326202262,-0.015622065411560604,-0.014257449340768566,0.0004897047347289698,0.020623478770370494,0.020225709511799854,0.00035764678453864253,-0.0008118163837365555,-0.02072377019656106,-0.020844838854766227,-0.0008536112688070223,-0.021413443827355404,-0.008634177243576955,-0.02126332170221066,-0.010509914679923687,-0.005238199950518556,1.0,-0.002323937372809693,-0.001148074395964025,-0.002323664717557331
M18,-0.005206430389338604,0.007290048015135362,0.007126219773162689,-0.006128146258612988,-0.00299824717725679,0.0017963097390690417,0.0016512429090549687,-0.00305201445656273,-0.0037072315315755545,-0.03345993632447684,-0.03352649041151631,-0.003720907445206018,-0.0019375977779135438,-0.0006373914075706188,-0.0019248569263089308,-0.0023250676176932825,-0.001103195050005702,-0.002323937372809693,1.0,-0.000755645202633558,-0.0024217176935062285
M19,-0.0023667533367876976,0.00048247289059831825,0.00042441102132769544,-0.0027038237287341444,-0.0005505514249109967,0.002894574265133834,0.00284224537597553,-0.0005696995771921544,-0.0009759357551985023,-0.01025593993074443,-0.010279084899291767,-0.0009811882270064618,-0.001404747309959287,-0.0005403635437791558,-0.0013951786505741345,-0.0011485825194227923,-0.0005581674018326285,-0.001148074395964025,-0.000755645202633558,1.0,-0.0007554958584369507
