member_i,member_j,action_i,action_j,solver_pair_benefit,solver_single_benefit_sum,interaction_utility,derivation,source
6,17,jacket,combined,4.168843494149748,4.150642137082912,0.01820135706683601,paired frame-solver finite difference,illustrative
6,17,combined,jacket,6.2569319275280755,6.235847739153417,0.021084188374658197,paired frame-solver finite difference,illustrative
6,17,combined,combined,6.333534783362982,6.311053323861806,0.02248145950117575,paired frame-solver finite difference,illustrative
6,18,jacket,combined,4.0569599729446715,4.05279609324257,0.004163879702101525,paired frame-solver finite difference,illustrative
6,18,combined,combined,6.217984579499056,6.213207280021464,0.004777299477591868,paired frame-solver finite difference,illustrative
7,9,jacket,jacket,1.1657860549142818,1.160310555171975,0.005475499742306766,paired frame-solver finite difference,illustrative
7,9,jacket,combined,2.038617713783406,2.03222660000149,0.006391113781916147,paired frame-solver finite difference,illustrative
7,9,combined,jacket,1.906362891982063,1.8689883374745087,0.037374554507554336,paired frame-solver finite difference,illustrative
7,9,combined,combined,2.783057025585176,2.7409043823040236,0.042152643281152535,paired frame-solver finite difference,illustrative
7,10,jacket,jacket,1.168310521907312,1.163716226545759,0.00459429536155298,paired frame-solver finite difference,illustrative
7,10,jacket,combined,1.6758986384891017,1.67061494982498,0.005283688664121655,paired frame-solver finite difference,illustrative
7,10,combined,jacket,1.9247141732184048,1.8723940088482927,0.05232016437011211,paired frame-solver finite difference,illustrative
7,10,combined,combined,2.4380466881739338,2.3792927321275137,0.058753956046420086,paired frame-solver finite difference,illustrative
7,12,combined,jacket,1.3445012253281519,1.3494225151043793,-0.004921289776227411,paired frame-solver finite difference,illustrative
7,12,combined,combined,3.6057911192587433,3.6145281427156206,-0.008737023456877324,paired frame-solver finite difference,illustrative
7,14,combined,jacket,1.304440283090642,1.2986109077957586,0.0058293752948834765,paired frame-solver finite difference,illustrative
7,14,combined,combined,1.7077071993635329,1.7003797166737478,0.007327482689785114,paired frame-solver finite difference,illustrative
7,17,combined,jacket,0.8150445919633853,0.8070547480772383,0.007989843886146986,paired frame-solver finite difference,illustrative
7,17,combined,combined,0.8916479342382644,0.8822603327856271,0.009387601452637284,paired frame-solver finite difference,illustrative
9,10,jacket,jacket,2.4726023834305977,2.3028736513821,0.16972873204849748,paired frame-solver finite difference,illustrative
9,10,jacket,combined,2.9187556316978913,2.8097723746613212,0.10898325703657008,paired frame-solver finite difference,illustrative
9,10,combined,jacket,3.2461419841306594,3.174789696211615,0.07135228791904424,paired frame-solver finite difference,illustrative
9,10,combined,combined,3.7084004295003226,3.681688419490836,0.02671201000948642,paired frame-solver finite difference,illustrative
9,12,jacket,jacket,1.7742087713346422,1.7799021576381868,-0.005693386303544656,paired frame-solver finite difference,illustrative
9,12,combined,jacket,2.6453644818733224,2.6518182024677017,-0.00645372059437932,paired frame-solver finite difference,illustrative
9,12,combined,combined,4.912526062980529,4.916923830078943,-0.004397767098414107,paired frame-solver finite difference,illustrative
9,14,jacket,jacket,1.7762397351254222,1.7290905503295662,0.04714918479585606,paired frame-solver finite difference,illustrative
9,14,jacket,combined,2.179141074970161,2.1308593592075553,0.04828171576260587,paired frame-solver finite difference,illustrative
9,14,combined,jacket,2.6541440342346867,2.601006595159081,0.05313743907560564,paired frame-solver finite difference,illustrative
9,14,combined,combined,3.0571622395153675,3.00277540403707,0.05438683547829726,paired frame-solver finite difference,illustrative
9,15,jacket,jacket,1.2631839401425005,1.2484972466595146,0.014686693482985902,paired frame-solver finite difference,illustrative
9,15,jacket,combined,2.847728550914681,2.854303860811953,-0.006575309897272064,paired frame-solver finite difference,illustrative
9,15,combined,jacket,2.1341024967709643,2.1204132914890295,0.013689205281934846,paired frame-solver finite difference,illustrative
9,15,combined,combined,3.7156968989617845,3.726219905641468,-0.010523006679683533,paired frame-solver finite difference,illustrative
9,17,jacket,jacket,1.2304839564990822,1.2375343906110459,-0.00705043411196371,paired frame-solver finite difference,illustrative
